timestamp,source,action,details
1777625867.5340478,USB_RELAY,on,relay=0;response=relay on
1777625875.5365696,USB_RELAY,on,relay=1;response=0  >relay
1777625876.0395958,USB_RELAY,off,relay=1;response=on 1  >r
1777625912.6784356,USB_RELAY,off,relay=0;response=elay off
1777625944.7003167,STM_PIN,low,pin=7
1777625944.7003167,PELTIER_SWITCH,off,pin=7;reason=pressure_control
1777625944.7048726,USB_RELAY,on,relay=3;response=relay on
1777625944.715685,USB_RELAY,off,relay=3;response=3  >relay
1777625947.7386594,USB_RELAY,on,relay=3;response=off 3  >
1777625947.7511356,USB_RELAY,off,relay=3;response=relay on
1777625950.753554,USB_RELAY,on,relay=3;response=3  >relay
1777625950.7667825,USB_RELAY,off,relay=3;response=off 3  >
1777625953.771126,USB_RELAY,on,relay=3;response=relay on
1777625953.7823007,USB_RELAY,off,relay=3;response=3  >relay
1777625956.784021,USB_RELAY,on,relay=3;response=off 3  >
1777625956.797751,USB_RELAY,off,relay=3;response=relay on
1777625959.7992795,USB_RELAY,on,relay=3;response=3  >relay
1777625959.8119445,USB_RELAY,off,relay=3;response=off 3  >
1777625962.8140812,USB_RELAY,on,relay=3;response=relay on
1777625962.826589,USB_RELAY,off,relay=3;response=3  >relay
1777625965.8302019,USB_RELAY,on,relay=3;response=off 3  >
1777625965.8418875,USB_RELAY,off,relay=3;response=relay on
1777625968.8446229,USB_RELAY,on,relay=3;response=3  >relay
1777625968.856102,USB_RELAY,off,relay=3;response=off 3  >
1777625971.8593826,USB_RELAY,on,relay=3;response=relay on
1777625971.8711617,USB_RELAY,off,relay=3;response=3  >relay
1777625974.875263,USB_RELAY,on,relay=3;response=off 3  >
1777625974.887841,USB_RELAY,off,relay=3;response=relay on
1777625977.8924763,USB_RELAY,on,relay=3;response=3  >relay
1777625977.9038851,USB_RELAY,off,relay=3;response=off 3  >
1777625980.90938,USB_RELAY,on,relay=3;response=relay on
1777625980.920049,USB_RELAY,off,relay=3;response=3  >relay
1777625986.9818785,STM_PIN,low,pin=6
1777625986.9872744,POLARITY,cool,pin=6
1777625987.0396554,STM_PIN,high,pin=7
1777625987.0396554,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626153.207217,STM_PIN,low,pin=7
1777626153.207217,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626156.3246853,STM_PIN,high,pin=6
1777626156.3275554,POLARITY,heat,pin=6
1777626156.3685749,STM_PIN,high,pin=7
1777626156.3685749,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626210.4596894,STM_PIN,low,pin=7
1777626210.4596894,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626210.5159514,USB_RELAY,on,relay=3;response=off 3  >
1777626210.5286324,USB_RELAY,off,relay=3;response=relay on
1777626213.5303507,USB_RELAY,on,relay=3;response=3  >relay
1777626213.543311,USB_RELAY,off,relay=3;response=off 3  >
1777626216.5467596,USB_RELAY,on,relay=3;response=relay on
1777626216.55809,USB_RELAY,off,relay=3;response=3  >relay
1777626219.5611548,USB_RELAY,on,relay=3;response=off 3  >
1777626219.574101,USB_RELAY,off,relay=3;response=relay on
1777626225.6696885,STM_PIN,low,pin=6
1777626225.6700425,POLARITY,cool,pin=6
1777626225.7783532,STM_PIN,high,pin=7
1777626225.7783532,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626229.2792025,STM_PIN,low,pin=7
1777626229.2792025,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626229.4025395,STM_PIN,high,pin=7
1777626229.4182217,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626441.1301339,STM_PIN,low,pin=7
1777626441.1301339,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626441.1943672,USB_RELAY,on,relay=3;response=3  >relay
1777626441.2062473,USB_RELAY,off,relay=3;response=off 3  >
1777626444.211235,USB_RELAY,on,relay=3;response=relay on
1777626444.222992,USB_RELAY,off,relay=3;response=3  >relay
1777626447.2273889,USB_RELAY,on,relay=3;response=off 3  >
1777626447.240469,USB_RELAY,off,relay=3;response=relay on
1777626450.2412906,USB_RELAY,on,relay=3;response=3  >relay
1777626450.2542996,USB_RELAY,off,relay=3;response=off 3  >
1777626453.3127475,STM_PIN,high,pin=7
1777626453.3127475,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626481.3066266,STM_PIN,low,pin=7
1777626481.3066266,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626484.425836,STM_PIN,high,pin=6
1777626484.431217,POLARITY,heat,pin=6
1777626484.4504027,STM_PIN,high,pin=7
1777626484.4504027,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626539.6893904,STM_PIN,low,pin=7
1777626539.6893904,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626539.751172,USB_RELAY,on,relay=3;response=relay on
1777626539.7629182,USB_RELAY,off,relay=3;response=3  >relay
1777626542.7661078,USB_RELAY,on,relay=3;response=off 3  >
1777626542.7787886,USB_RELAY,off,relay=3;response=relay on
1777626545.7822597,USB_RELAY,on,relay=3;response=3  >relay
1777626545.7939785,USB_RELAY,off,relay=3;response=off 3  >
1777626548.7965212,USB_RELAY,on,relay=3;response=relay on
1777626548.8110826,USB_RELAY,off,relay=3;response=3  >relay
1777626551.816265,USB_RELAY,on,relay=3;response=off 3  >
1777626551.8280199,USB_RELAY,off,relay=3;response=relay on
1777626554.8296683,USB_RELAY,on,relay=3;response=3  >relay
1777626554.8441541,USB_RELAY,off,relay=3;response=off 3  >
1777626560.8505094,STM_PIN,low,pin=6
1777626560.8505094,POLARITY,cool,pin=6
1777626560.9754713,STM_PIN,high,pin=7
1777626560.9754713,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626561.0082788,STM_PIN,low,pin=7
1777626561.0082788,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626561.1309226,STM_PIN,high,pin=7
1777626561.1309226,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626777.6838918,STM_PIN,low,pin=7
1777626777.6838918,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626777.74364,USB_RELAY,on,relay=3;response=relay on
1777626777.7755415,USB_RELAY,off,relay=3;response=3  >relay
1777626780.78091,USB_RELAY,on,relay=3;response=off 3  >
1777626780.7922642,USB_RELAY,off,relay=3;response=relay on
1777626783.7962937,USB_RELAY,on,relay=3;response=3  >relay
1777626783.807732,USB_RELAY,off,relay=3;response=off 3  >
1777626786.8131127,USB_RELAY,on,relay=3;response=relay on
1777626786.8246386,USB_RELAY,off,relay=3;response=3  >relay
1777626789.827499,USB_RELAY,on,relay=3;response=off 3  >
1777626789.8406246,USB_RELAY,off,relay=3;response=relay on
1777626792.8441257,USB_RELAY,on,relay=3;response=3  >relay
1777626792.8560915,USB_RELAY,off,relay=3;response=off 3  >
1777626795.8896298,STM_PIN,high,pin=7
1777626795.8896298,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626826.9729688,STM_PIN,low,pin=7
1777626826.9749832,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626830.0874438,STM_PIN,high,pin=6
1777626830.0874438,POLARITY,heat,pin=6
1777626830.2246192,STM_PIN,high,pin=7
1777626830.2246192,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626886.1509604,STM_PIN,low,pin=7
1777626886.1509604,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626886.207617,USB_RELAY,on,relay=3;response=relay on
1777626886.2214503,USB_RELAY,off,relay=3;response=3  >relay
1777626889.2228725,USB_RELAY,on,relay=3;response=off 3  >
1777626889.2354443,USB_RELAY,off,relay=3;response=relay on
1777626892.2391207,USB_RELAY,on,relay=3;response=3  >relay
1777626892.2504773,USB_RELAY,off,relay=3;response=off 3  >
1777626895.2536786,USB_RELAY,on,relay=3;response=relay on
1777626895.2649367,USB_RELAY,off,relay=3;response=3  >relay
1777626898.2681608,USB_RELAY,on,relay=3;response=off 3  >
1777626898.2792988,USB_RELAY,off,relay=3;response=relay on
1777626901.2807848,USB_RELAY,on,relay=3;response=3  >relay
1777626901.2948346,USB_RELAY,off,relay=3;response=off 3  >
1777626904.2998304,USB_RELAY,on,relay=3;response=relay on
1777626904.31074,USB_RELAY,off,relay=3;response=3  >relay
1777626907.342312,STM_PIN,high,pin=7
1777626907.342312,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777626916.935935,STM_PIN,low,pin=7
1777626916.935935,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777626920.074926,STM_PIN,low,pin=6
1777626920.074926,POLARITY,cool,pin=6
1777626920.1389735,STM_PIN,high,pin=7
1777626920.1399739,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777627161.50998,STM_PIN,low,pin=7
1777627161.50998,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777627161.5759592,USB_RELAY,on,relay=3;response=off 3  >
1777627161.588149,USB_RELAY,off,relay=3;response=relay on
1777627164.5909612,USB_RELAY,on,relay=3;response=3  >relay
1777627164.6019993,USB_RELAY,off,relay=3;response=off 3  >
1777627167.6031256,USB_RELAY,on,relay=3;response=relay on
1777627167.6170516,USB_RELAY,off,relay=3;response=3  >relay
1777627170.620516,USB_RELAY,on,relay=3;response=off 3  >
1777627170.6315584,USB_RELAY,off,relay=3;response=relay on
1777627173.6332905,USB_RELAY,on,relay=3;response=3  >relay
1777627173.6472757,USB_RELAY,off,relay=3;response=off 3  >
1777627176.6519058,USB_RELAY,on,relay=3;response=relay on
1777627176.6650047,USB_RELAY,off,relay=3;response=3  >relay
1777627179.6958613,STM_PIN,high,pin=7
1777627179.6958613,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777627212.249158,STM_PIN,low,pin=7
1777627212.249158,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777627215.3561246,STM_PIN,high,pin=6
1777627215.3561246,POLARITY,heat,pin=6
1777627215.3957987,STM_PIN,high,pin=7
1777627215.3975582,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777627271.6710222,STM_PIN,low,pin=7
1777627271.6833742,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777627271.7373216,USB_RELAY,on,relay=3;response=off 3  >
1777627271.7510328,USB_RELAY,off,relay=3;response=relay on
1777627274.7526236,USB_RELAY,on,relay=3;response=3  >relay
1777627274.765187,USB_RELAY,off,relay=3;response=off 3  >
1777627277.7663465,USB_RELAY,on,relay=3;response=relay on
1777627277.7788095,USB_RELAY,off,relay=3;response=3  >relay
1777627280.7800775,USB_RELAY,on,relay=3;response=off 3  >
1777627280.7928805,USB_RELAY,off,relay=3;response=relay on
1777627283.793848,USB_RELAY,on,relay=3;response=3  >relay
1777627283.8062923,USB_RELAY,off,relay=3;response=off 3  >
1777627286.8080442,USB_RELAY,on,relay=3;response=relay on
1777627286.821492,USB_RELAY,off,relay=3;response=3  >relay
1777627289.8231685,USB_RELAY,on,relay=3;response=off 3  >
1777627289.8343656,USB_RELAY,off,relay=3;response=relay on
1777627292.8372574,USB_RELAY,on,relay=3;response=3  >relay
1777627292.8486998,USB_RELAY,off,relay=3;response=off 3  >
1777627295.8499115,USB_RELAY,on,relay=3;response=relay on
1777627295.8623233,USB_RELAY,off,relay=3;response=3  >relay
1777627298.916879,STM_PIN,high,pin=7
1777627298.916879,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777627311.6349678,STM_PIN,low,pin=7
1777627311.6382108,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777627314.7741685,STM_PIN,low,pin=6
1777627314.7741685,POLARITY,cool,pin=6
1777627314.8253388,STM_PIN,high,pin=7
1777627314.8253388,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777627564.8005612,STM_PIN,low,pin=7
1777627564.813178,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777627564.8751967,USB_RELAY,on,relay=3;response=off 3  >
1777627564.8861039,USB_RELAY,off,relay=3;response=relay on
1777627567.889341,USB_RELAY,on,relay=3;response=3  >relay
1777627567.900355,USB_RELAY,off,relay=3;response=off 3  >
1777627570.9034405,USB_RELAY,on,relay=3;response=relay on
1777627570.9151702,USB_RELAY,off,relay=3;response=3  >relay
1777627573.9194505,USB_RELAY,on,relay=3;response=off 3  >
1777627573.930214,USB_RELAY,off,relay=3;response=relay on
1777627576.932612,USB_RELAY,on,relay=3;response=3  >relay
1777627576.9436262,USB_RELAY,off,relay=3;response=off 3  >
1777627579.9450922,USB_RELAY,on,relay=3;response=relay on
1777627579.9583411,USB_RELAY,off,relay=3;response=3  >relay
1777627582.9634542,USB_RELAY,on,relay=3;response=off 3  >
1777627582.9741764,USB_RELAY,off,relay=3;response=relay on
1777627585.9781778,USB_RELAY,on,relay=3;response=3  >relay
1777627585.9891255,USB_RELAY,off,relay=3;response=off 3  >
1777627588.9922068,USB_RELAY,on,relay=3;response=relay on
1777627589.0032914,USB_RELAY,off,relay=3;response=3  >relay
1777627592.0812342,STM_PIN,high,pin=7
1777627592.0812342,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777627631.9444695,STM_PIN,low,pin=7
1777627631.9454777,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777627635.0598714,STM_PIN,high,pin=6
1777627635.0608766,POLARITY,heat,pin=6
1777627635.1139061,STM_PIN,high,pin=7
1777627635.1139061,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777627692.2780201,STM_PIN,low,pin=7
1777627692.2790248,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777627692.3350346,USB_RELAY,on,relay=3;response=off 3  >
1777627692.346526,USB_RELAY,off,relay=3;response=relay on
