1777625944.5985625 | State=run_start | TargetState=points:30 | Polarity=None
1777625944.5985625 | State=point_start (1/30) | TargetState=pressure:60.00000, temp:0.00000 | Polarity=None
1777625944.701871 | State=peltier_switch_off | TargetState=reason:pressure_control | Polarity=None
1777625944.703398 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=69.99700
1777625944.703398 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625947.7175343 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=69.10700
1777625947.7386594 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625950.753554 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=68.02200
1777625950.753554 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625953.769182 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=67.24100
1777625953.7704947 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625956.784021 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=66.45200
1777625956.784021 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625959.7992795 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=65.67600
1777625959.7992795 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625962.8140812 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=64.91100
1777625962.8140812 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625965.8278615 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=64.13200
1777625965.8278615 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625968.842596 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=63.36300
1777625968.842596 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625971.8583553 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=62.56000
1777625971.8593826 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625974.8739548 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=61.77700
1777625974.875263 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625977.8909068 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=60.95700
1777625977.8914857 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625980.9066257 | State=venting_pressure | TargetState=pressure:60.00000 | Polarity=None | PeltierPower=off | CurrentPressure=60.02500
1777625980.9066257 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777625983.9217668 | State=temperature_control | TargetState=temp:0.00000 | Polarity=None
1777625983.922816 | State=set_temp_start | TargetState=temp:0.00000, tolerance:0.05000 | Polarity=None | CurrentTemp=22.14510
1777625983.922816 | State=peltier_switch_unchanged | TargetState=power:off, reason:set_polarity_cool | Polarity=None
1777625986.9872744 | State=set_temp_polarity_set | TargetState=mode:cooling, temp:0.00000 | Polarity=cool
1777625987.0426245 | State=peltier_switch_on | TargetState=reason:set_temp_stream | Polarity=cool
1777625987.0426245 | State=set_temp_power_on | TargetState=temp:0.00000 | Polarity=cool
1777625987.0426245 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.58969
1777625987.2446344 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.06523
1777625987.4465036 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.97370
1777625987.6485348 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.97810
1777625987.8509572 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.91505
1777625988.0534759 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.90053
1777625988.2555845 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.09102
1777625988.4576957 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.90097
1777625988.6603994 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.30583
1777625988.8627293 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.01171
1777625989.0647094 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.32841
1777625989.2677088 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.92787
1777625989.4688995 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.77035
1777625989.6715126 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.76677
1777625989.8752825 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.82938
1777625990.077434 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.96157
1777625990.279746 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.79494
1777625990.482046 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.16407
1777625990.6840582 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.04226
1777625990.8858035 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.70525
1777625991.0879152 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.85101
1777625991.2899382 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.63828
1777625991.491674 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.92414
1777625991.6934917 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.97349
1777625991.8956368 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.32265
1777625992.097371 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.87581
1777625992.298899 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.70287
1777625992.5009656 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.49361
1777625992.7025342 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.68240
1777625992.905173 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.48812
1777625993.1076436 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.35575
1777625993.3087776 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.17506
1777625993.5103528 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.01307
1777625993.7116137 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.49458
1777625993.9126592 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.43924
1777625994.1150098 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.27077
1777625994.3162596 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.12834
1777625994.518532 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.44442
1777625994.7206128 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.67497
1777625994.9244459 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.18291
1777625995.1380763 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.96763
1777625995.339655 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.03897
1777625995.5425727 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.07727
1777625995.744059 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.07586
1777625995.9464397 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.16692
1777625996.1496158 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.05773
1777625996.3514285 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.93887
1777625996.5541058 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=21.05583
1777625996.756469 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.70491
1777625996.9588852 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.89850
1777625997.1605918 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.71650
1777625997.3633616 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.68870
1777625997.5656588 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.38742
1777625997.766652 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.58990
1777625997.968438 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.42094
1777625998.1708903 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.18118
1777625998.3751686 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.73945
1777625998.576497 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.52790
1777625998.7786913 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.20299
1777625998.9800885 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.04864
1777625999.1824882 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.19525
1777625999.3947997 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.17620
1777625999.5961907 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.87267
1777625999.797529 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=20.14960
1777626000.0009835 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.77577
1777626000.2038934 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.58590
1777626000.4078062 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.45025
1777626000.6104436 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.58768
1777626000.8123205 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.61488
1777626001.014112 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.73816
1777626001.219811 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.65374
1777626001.4219592 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.38095
1777626001.624772 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.30234
1777626001.828219 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.02606
1777626002.0313365 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.18660
1777626002.2335455 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.10186
1777626002.4355469 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.14320
1777626002.6378515 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.52155
1777626002.8398702 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.44804
1777626003.0429547 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.13660
1777626003.2452672 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.98958
1777626003.4470465 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=19.03374
1777626003.6492608 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.90810
1777626003.8516839 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.76521
1777626004.053901 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.50536
1777626004.2554302 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.75052
1777626004.4573913 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.72393
1777626004.6601367 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.47692
1777626004.8624232 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.60681
1777626005.067059 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.38671
1777626005.2682745 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.45267
1777626005.4706523 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.51135
1777626005.6739697 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.19177
1777626005.875637 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.17757
1777626006.0773 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.14415
1777626006.2792156 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.03914
1777626006.481173 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.05022
1777626006.6831174 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.91248
1777626006.8848915 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=18.16565
1777626007.0877972 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.86782
1777626007.2907584 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.99107
1777626007.4916039 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=17.85314
