timestamp,source,action,details
1777890033.2131279,USB_RELAY,on,relay=0;response=relay on
1777890041.215542,USB_RELAY,on,relay=1;response=0  >relay
1777890041.7174253,USB_RELAY,off,relay=1;response=on 1  >r
1777890083.6205504,USB_RELAY,off,relay=0;response=elay off
1777890146.8379936,STM_PIN,low,pin=7
1777890146.8423343,PELTIER_SWITCH,off,pin=7;reason=pressure_control
1777890146.8443007,USB_RELAY,on,relay=3;response=relay on
1777890146.8564994,USB_RELAY,off,relay=3;response=3  >relay
1777890152.9617922,STM_PIN,low,pin=6
1777890152.9637296,POLARITY,cool,pin=6
1777890153.0195792,STM_PIN,high,pin=7
1777890153.0369449,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777890395.124581,STM_PIN,low,pin=7
1777890395.124581,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777890398.235337,STM_PIN,high,pin=6
1777890398.235337,POLARITY,heat,pin=6
1777890398.2658007,STM_PIN,high,pin=7
1777890398.2658007,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777890457.9960032,STM_PIN,low,pin=7
1777890457.9970114,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777890458.0541248,USB_RELAY,on,relay=3;response=off 3  >
1777890458.068206,USB_RELAY,off,relay=3;response=relay on
1777890461.0690742,USB_RELAY,on,relay=3;response=3  >relay
1777890461.0824997,USB_RELAY,off,relay=3;response=off 3  >
1777890464.0841725,USB_RELAY,on,relay=3;response=relay on
1777890464.0981927,USB_RELAY,off,relay=3;response=3  >relay
1777890467.1039166,USB_RELAY,on,relay=3;response=off 3  >
1777890467.1156456,USB_RELAY,off,relay=3;response=relay on
1777890473.199904,STM_PIN,low,pin=6
1777890473.201667,POLARITY,cool,pin=6
1777890473.242275,STM_PIN,high,pin=7
1777890473.2545974,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777890474.7318885,STM_PIN,low,pin=7
1777890474.7318885,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777890474.8002589,USB_RELAY,on,relay=3;response=3  >relay
1777890474.8122737,USB_RELAY,off,relay=3;response=off 3  >
