1777890146.7474954 | State=run_start | TargetState=points:36 | Polarity=None
1777890146.7479348 | State=point_start (1/36) | TargetState=pressure:70.00000, temp:0.00000 | Polarity=None
1777890146.8423343 | State=peltier_switch_off | TargetState=reason:pressure_control | Polarity=None
1777890146.8443007 | State=venting_pressure | TargetState=pressure:70.00000 | Polarity=None | PeltierPower=off | CurrentPressure=70.55500
1777890146.8443007 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777890149.8604407 | State=temperature_control | TargetState=temp:0.00000 | Polarity=None
1777890149.8786638 | State=set_temp_start | TargetState=temp:0.00000, tolerance:0.05000 | Polarity=None | CurrentTemp=23.42949
1777890149.8806944 | State=peltier_switch_unchanged | TargetState=power:off, reason:set_polarity_cool | Polarity=None
1777890152.9637296 | State=set_temp_polarity_set | TargetState=mode:cooling, temp:0.00000 | Polarity=cool
1777890153.0369449 | State=peltier_switch_on | TargetState=reason:set_temp_stream | Polarity=cool
1777890153.0369449 | State=set_temp_power_on | TargetState=temp:0.00000 | Polarity=cool
1777890153.0369449 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.28085
1777890153.241206 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.36015
1777890153.4451048 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.47773
1777890153.6479163 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.46569
1777890153.8498971 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.47335
1777890154.0535874 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.21493
1777890154.2548647 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.51482
1777890154.4568043 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.32419
1777890154.6599102 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.21938
1777890154.8627422 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.39153
1777890155.063899 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.42480
1777890155.2660265 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.47172
1777890155.469669 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.45796
1777890155.6720715 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.21884
1777890155.8741682 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.34787
1777890156.0780191 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.31139
1777890156.2790148 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.75530
1777890156.4819632 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.39745
1777890156.70305 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.19799
1777890156.905515 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.36857
1777890157.107671 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.27452
1777890157.310048 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.29922
1777890157.5118067 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.10936
1777890157.714727 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.10798
1777890157.9165037 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.06120
1777890158.1194322 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.08406
1777890158.3320606 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=22.91439
