timestamp,source,action,details
1777896208.9633937,USB_RELAY,on,relay=0;response=relay on
1777896216.9661145,USB_RELAY,on,relay=1;response=0  >relay
1777896217.4683597,USB_RELAY,off,relay=1;response=on 1  >r
1777896264.622693,USB_RELAY,off,relay=0;response=elay off
1777896283.7333512,STM_PIN,low,pin=7
1777896283.734355,PELTIER_SWITCH,off,pin=7;reason=pressure_control
1777896283.7448719,USB_RELAY,on,relay=3;response=1  >relay
1777896283.7560284,USB_RELAY,off,relay=3;response=off 0  >
1777896286.7805483,USB_RELAY,on,relay=3;response=relay on
1777896286.7916803,USB_RELAY,off,relay=3;response=3  >relay
1777896292.8495226,STM_PIN,low,pin=6
1777896292.850523,POLARITY,cool,pin=6
1777896292.879787,STM_PIN,high,pin=7
1777896292.8808138,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777896536.284958,STM_PIN,low,pin=7
1777896536.284958,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777896539.4085565,STM_PIN,high,pin=6
1777896539.4085565,POLARITY,heat,pin=6
1777896539.4587119,STM_PIN,high,pin=7
1777896539.4587119,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777896598.720832,STM_PIN,low,pin=7
1777896598.720832,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777896598.7801566,USB_RELAY,on,relay=3;response=off 3  >
1777896598.7913752,USB_RELAY,off,relay=3;response=relay on
1777896601.7925994,USB_RELAY,on,relay=3;response=3  >relay
1777896601.8065393,USB_RELAY,off,relay=3;response=off 3  >
1777896604.8104768,USB_RELAY,on,relay=3;response=relay on
1777896604.8216329,USB_RELAY,off,relay=3;response=3  >relay
1777896607.824683,USB_RELAY,on,relay=3;response=off 3  >
1777896607.8377912,USB_RELAY,off,relay=3;response=relay on
1777896613.9287708,STM_PIN,low,pin=6
1777896613.9296787,POLARITY,cool,pin=6
1777896613.9777071,STM_PIN,high,pin=7
1777896613.9777071,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777896615.8035486,STM_PIN,low,pin=7
1777896615.8052962,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777896615.9055545,STM_PIN,high,pin=7
1777896615.9055545,PELTIER_SWITCH,on,pin=7;reason=set_temp_stream
1777896905.653925,STM_PIN,low,pin=7
1777896905.6634665,PELTIER_SWITCH,off,pin=7;reason=set_temp_stream_done
1777896905.7249637,USB_RELAY,on,relay=3;response=3  >relay
1777896905.735653,USB_RELAY,off,relay=3;response=off 3  >
1777896908.7401981,USB_RELAY,on,relay=3;response=relay on
1777896908.7514656,USB_RELAY,off,relay=3;response=3  >relay
1777896911.7522817,USB_RELAY,on,relay=3;response=off 3  >
