1777896283.6683633 | State=run_start | TargetState=points:36 | Polarity=None
1777896283.6694078 | State=point_start (1/36) | TargetState=pressure:70.00000, temp:0.00000 | Polarity=None
1777896283.734355 | State=peltier_switch_off | TargetState=reason:pressure_control | Polarity=None
1777896283.7420652 | State=venting_pressure | TargetState=pressure:70.00000 | Polarity=None | PeltierPower=off | CurrentPressure=71.26000
1777896283.7420652 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777896286.7569392 | State=venting_pressure | TargetState=pressure:70.00000 | Polarity=None | PeltierPower=off | CurrentPressure=70.35700
1777896286.7795482 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1777896289.793743 | State=temperature_control | TargetState=temp:0.00000 | Polarity=None
1777896289.7949166 | State=set_temp_start | TargetState=temp:0.00000, tolerance:0.05000 | Polarity=None | CurrentTemp=23.77325
1777896289.7949166 | State=peltier_switch_unchanged | TargetState=power:off, reason:set_polarity_cool | Polarity=None
1777896292.851527 | State=set_temp_polarity_set | TargetState=mode:cooling, temp:0.00000 | Polarity=cool
1777896292.8817296 | State=peltier_switch_on | TargetState=reason:set_temp_stream | Polarity=cool
1777896292.8817296 | State=set_temp_power_on | TargetState=temp:0.00000 | Polarity=cool
1777896292.8828468 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.68685
1777896293.0840046 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.83175
1777896293.2850857 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.75892
1777896293.4864872 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.78571
1777896293.6877446 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.79255
1777896293.8895102 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.84359
1777896294.0912776 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.75641
1777896294.292559 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.83192
1777896294.4938529 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.90669
1777896294.6950731 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.96193
1777896294.896821 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=24.04454
1777896295.100482 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.81417
1777896295.3017533 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.94374
1777896295.5044973 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.90291
1777896295.7057865 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=23.65844
