1778073086.2507172 | State=run_start | TargetState=points:32 | Polarity=None
1778073086.252316 | State=point_start (1/32) | TargetState=pressure:63.00000, temp:0.00000 | Polarity=None
1778073086.3029513 | State=peltier_switch_off | TargetState=reason:pressure_control | Polarity=None
1778073086.310841 | State=venting_pressure | TargetState=pressure:63.00000 | Polarity=None | PeltierPower=off | CurrentPressure=63.76600
1778073086.310841 | State=peltier_switch_unchanged | TargetState=power:off, reason:pressure_control | Polarity=None
1778073089.3257263 | State=temperature_control | TargetState=temp:0.00000 | Polarity=None
1778073089.3457897 | State=set_temp_start | TargetState=temp:0.00000, tolerance:0.05000 | Polarity=None | CurrentTemp=16.01704
1778073089.3457897 | State=peltier_switch_unchanged | TargetState=power:off, reason:set_polarity_cool | Polarity=None
1778073092.4032953 | State=set_temp_polarity_set | TargetState=mode:cooling, temp:0.00000 | Polarity=cool
1778073092.434531 | State=peltier_switch_on | TargetState=reason:set_temp_stream | Polarity=cool
1778073092.434531 | State=set_temp_power_on | TargetState=temp:0.00000 | Polarity=cool
1778073092.4359753 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.23824
1778073092.6370206 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.20160
1778073092.839347 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.05627
1778073093.0410876 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.20056
1778073093.2437565 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.17923
1778073093.4447198 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.08049
1778073093.6484683 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.05166
1778073093.8507051 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.24645
1778073094.054766 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.23942
1778073094.258247 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.09691
1778073094.4609697 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.14514
1778073094.6623576 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.23169
1778073094.8635268 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.27043
1778073095.066549 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.08562
1778073095.2710981 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.10039
1778073095.4723036 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.08046
1778073095.6737676 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.07352
1778073095.8757665 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.24251
1778073096.0783787 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.22325
1778073096.2794096 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.02949
1778073096.4813354 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.90947
1778073096.6829073 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.11779
1778073096.88488 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.87960
1778073097.0864286 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.96756
1778073097.289719 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.06544
1778073097.490874 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=16.03839
1778073097.6927774 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.87229
1778073097.8954573 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.88431
1778073098.0971859 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.79853
1778073098.2995858 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.77950
1778073098.501451 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.76150
1778073098.703624 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.71532
1778073098.9060974 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.78915
1778073099.1086876 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.82316
1778073099.3108807 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.63755
1778073099.5129967 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.52739
1778073099.7154984 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.71942
1778073099.9176104 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.60732
1778073100.1202621 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.52136
1778073100.322638 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.37760
1778073100.5241494 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.31659
1778073100.7261126 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.61507
1778073100.9290285 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.33293
1778073101.1304164 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.20527
1778073101.3327262 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.43281
1778073101.5354607 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.40341
1778073101.7367425 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.12292
1778073101.9393787 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.34424
1778073102.1412375 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=14.97189
1778073102.3432813 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.01144
1778073102.5462368 | State=set_temp_tracking | TargetState=temp:0.00000 | Polarity=cool | CurrentTemp=15.04549
